Customer_id,churn_flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,credit_limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,total_spend,transaction_count,Total_Ct_Chng_Q4_Q1,utilization_ratio,high_utilization,spend_drop_flag,inactive_flag,high_inactive_flag,spend_decline_flag,util_band,risk_score
708112008,0,56,M,2,Graduate,Married,"$80K - $120K",Blue,36,4,2,3,23510.00,1049.00,22461.00,0.4380,1661.00,35,0.2960,0.0450,0,1,0,0,1,"Very Low",1.0000
708113208,0,53,F,1,"High School",Married,"Less than $40K",Blue,36,3,2,2,1688.00,0.00,1688.00,0.6410,4375.00,69,0.6050,0.0000,0,1,0,0,1,NULL,1.0000
708117933,1,44,F,2,Graduate,Divorced,"Less than $40K",Blue,36,3,2,3,1880.00,0.00,1880.00,0.5190,2469.00,34,0.4170,0.0000,0,1,0,0,1,NULL,1.0000
708119658,0,49,F,4,Graduate,Married,"$40K - $60K",Blue,38,4,2,1,12836.00,1034.00,11802.00,0.6630,2519.00,53,0.4720,0.0810,0,1,0,0,1,"Very Low",1.0000
708121908,1,48,M,4,Unknown,Married,"$80K - $120K",Blue,36,2,3,2,22917.00,0.00,22917.00,0.5740,2045.00,45,0.5000,0.0000,0,1,0,1,1,NULL,2.0000
708123033,0,41,F,3,Graduate,Single,"Less than $40K",Silver,30,2,1,1,11463.00,0.00,11463.00,0.9080,14511.00,105,0.7210,0.0000,0,0,0,0,0,NULL,0.0000
708125733,0,46,F,2,College,Divorced,"Less than $40K",Blue,36,4,3,1,1438.30,0.00,1438.30,0.9060,4311.00,77,0.8330,0.0000,0,0,0,1,0,NULL,1.0000
708128733,0,50,F,3,Post-Graduate,Single,Unknown,Blue,36,5,4,3,1814.00,0.00,1814.00,0.8520,5014.00,99,0.6230,0.0000,0,0,1,1,0,NULL,1.0000
708129933,0,45,F,4,Graduate,Single,"Less than $40K",Blue,36,5,3,2,2072.00,1544.00,528.00,0.9030,4210.00,64,0.9390,0.7450,0,0,0,1,0,Medium,1.0000
708132783,0,47,F,3,Uneducated,Single,Unknown,Blue,42,6,2,2,16411.00,1179.00,15232.00,0.8490,3929.00,71,0.7320,0.0720,0,0,0,0,0,"Very Low",0.0000
708134283,0,35,M,2,Uneducated,Married,"Less than $40K",Blue,36,4,3,3,3131.00,629.00,2502.00,0.7490,1483.00,31,0.6320,0.2010,0,1,0,1,1,Low,2.0000
708136908,0,62,F,0,Graduate,Single,"Less than $40K",Blue,53,5,2,2,2616.00,801.00,1815.00,0.7190,4655.00,68,0.5110,0.3060,0,1,0,0,1,Low,1.0000
708139833,1,40,M,3,Graduate,Unknown,"$60K - $80K",Blue,30,4,2,3,6391.00,0.00,6391.00,0.6320,2323.00,44,0.4190,0.0000,0,1,0,0,1,NULL,1.0000
708145908,0,61,F,0,Graduate,Married,"$40K - $60K",Blue,50,3,3,0,4906.00,2185.00,2721.00,0.6600,3999.00,71,1.0880,0.4450,0,1,0,1,1,Low,2.0000
708147108,0,26,M,0,Graduate,Divorced,Unknown,Blue,36,6,1,3,21084.00,2517.00,18567.00,0.7630,2309.00,71,0.5430,0.1190,0,1,0,0,1,"Very Low",1.0000
708148158,0,39,F,4,Unknown,Married,Unknown,Blue,21,2,3,2,1827.00,0.00,1827.00,0.5630,4207.00,86,0.7920,0.0000,0,1,0,1,1,NULL,2.0000
708151008,0,49,F,4,Graduate,Married,"$40K - $60K",Blue,41,5,1,2,6250.00,644.00,5606.00,1.0600,2433.00,41,1.1580,0.1030,0,0,0,0,0,"Very Low",0.0000
708152358,1,54,M,1,Post-Graduate,Unknown,"$80K - $120K",Blue,36,1,3,2,18512.00,1664.00,16848.00,0.8890,8019.00,57,0.5830,0.0900,0,0,0,1,0,"Very Low",1.0000
708153558,0,46,M,5,Doctorate,Divorced,"$120K +",Blue,31,1,2,2,34516.00,1802.00,32714.00,0.8710,7936.00,101,0.4850,0.0520,0,0,0,0,0,"Very Low",0.0000
708154833,1,39,F,2,Graduate,Single,"Less than $40K",Blue,27,1,3,3,1438.30,811.00,627.30,0.5710,2336.00,46,0.2780,0.5640,0,1,0,1,1,Medium,2.0000
708155733,0,53,M,2,"High School",Single,"$120K +",Blue,44,4,2,2,14734.00,1634.00,13100.00,0.9890,1289.00,23,0.9170,0.1110,0,0,0,0,0,"Very Low",0.0000
708158133,1,45,M,3,College,Married,"$80K - $120K",Blue,36,3,2,2,3031.00,2517.00,514.00,0.4090,2188.00,50,0.3890,0.8300,1,1,0,0,1,High,1.0000
708160008,0,44,M,1,Uneducated,Married,"$120K +",Blue,33,2,2,3,34516.00,1058.00,33458.00,0.7340,7412.00,84,0.5850,0.0310,0,1,0,0,1,"Very Low",1.0000
708161133,0,45,M,1,Graduate,Single,"$40K - $60K",Blue,32,5,1,2,6629.00,1389.00,5240.00,0.8280,3891.00,69,0.6430,0.2100,0,0,0,0,0,Low,0.0000
708162558,0,64,F,0,Uneducated,Married,Unknown,Blue,54,6,1,2,3250.00,1992.00,1258.00,0.7150,1355.00,36,0.5650,0.6130,0,1,0,0,1,Medium,1.0000
708163758,0,41,M,3,Unknown,Married,"$120K +",Blue,33,2,4,3,34516.00,638.00,33878.00,0.7240,13085.00,139,0.6750,0.0180,0,1,1,1,1,"Very Low",2.0000
708170508,1,38,M,2,Graduate,Married,"$60K - $80K",Blue,36,2,3,2,1438.30,0.00,1438.30,0.4610,1651.00,42,0.5000,0.0000,0,1,0,1,1,NULL,2.0000
708171858,0,33,F,3,Post-Graduate,Married,"$40K - $60K",Blue,28,5,2,3,1864.00,1081.00,783.00,1.4160,2607.00,44,1.7500,0.5800,0,0,0,0,0,Medium,0.0000
708173433,0,26,F,1,Unknown,Single,"$40K - $60K",Blue,14,4,2,4,5645.00,2324.00,3321.00,0.6550,2482.00,57,0.7270,0.4120,0,1,0,0,1,Low,1.0000
708174708,0,38,M,4,Graduate,Married,"$40K - $60K",Blue,27,6,2,4,5535.00,1276.00,4259.00,0.6360,1764.00,38,0.9000,0.2310,0,1,0,0,1,Low,1.0000
708176208,0,48,F,1,Graduate,Married,"$40K - $60K",Blue,36,4,4,1,7268.00,0.00,7268.00,0.6910,4199.00,80,0.9050,0.0000,0,1,1,1,1,NULL,2.0000
708177333,0,51,F,2,"High School",Married,"Less than $40K",Silver,36,5,3,0,11261.00,2485.00,8776.00,0.7360,1158.00,26,0.8570,0.2210,0,1,0,1,1,Low,2.0000
708178608,0,31,F,0,Graduate,Married,Unknown,Blue,36,4,2,2,2488.00,0.00,2488.00,1.0500,4226.00,73,0.5210,0.0000,0,0,0,0,0,NULL,0.0000
708185208,0,27,M,0,Graduate,Single,"$40K - $60K",Blue,16,4,1,2,3178.00,1118.00,2060.00,0.6430,2010.00,31,0.5500,0.3520,0,1,0,0,1,Low,1.0000
708186933,1,33,M,1,Graduate,Single,"$60K - $80K",Blue,36,4,3,2,1819.00,725.00,1094.00,0.7370,2254.00,45,0.4060,0.3990,0,1,0,1,1,Low,2.0000
708190158,1,38,F,3,"High School",Single,"Less than $40K",Blue,26,2,3,0,2920.00,2426.00,494.00,0.9830,2750.00,41,0.3670,0.8310,1,0,0,1,0,High,1.0000
708193008,0,41,M,4,Uneducated,Single,"$80K - $120K",Blue,30,3,3,4,14480.00,0.00,14480.00,0.7030,1616.00,43,0.6540,0.0000,0,1,0,1,1,NULL,2.0000
708195633,0,40,M,2,"High School",Unknown,"$80K - $120K",Silver,32,5,2,3,34516.00,1182.00,33334.00,0.6130,2440.00,54,0.5430,0.0340,0,1,0,0,1,"Very Low",1.0000
708197358,1,57,M,2,Uneducated,Unknown,"$80K - $120K",Blue,48,4,1,3,30543.00,264.00,30279.00,0.8820,7784.00,63,0.7030,0.0090,0,0,0,0,0,"Very Low",0.0000
708204033,0,36,F,5,Unknown,Single,"Less than $40K",Blue,24,3,1,1,2980.00,2093.00,887.00,0.5220,4132.00,70,0.6670,0.7020,0,1,0,0,1,Medium,1.0000
708205083,0,38,F,1,"High School",Married,"Less than $40K",Blue,28,6,4,3,1438.30,0.00,1438.30,0.7670,4815.00,81,0.6530,0.0000,0,1,1,1,1,NULL,2.0000
708207783,0,50,F,3,"High School",Single,"Less than $40K",Blue,42,1,3,2,1477.00,0.00,1477.00,0.6850,4680.00,80,0.7780,0.0000,0,1,0,1,1,NULL,2.0000
708208758,0,53,M,1,Graduate,Single,"$80K - $120K",Blue,45,6,3,2,1826.00,883.00,943.00,0.9530,2199.00,48,1.0000,0.4840,0,0,0,1,0,Low,1.0000
708211383,0,35,F,3,Graduate,Single,"Less than $40K",Blue,27,3,3,3,2664.00,0.00,2664.00,0.7310,3906.00,74,0.5740,0.0000,0,1,0,1,1,NULL,2.0000
708212658,0,38,F,3,Graduate,Married,"Less than $40K",Blue,18,6,3,2,2193.00,1260.00,933.00,0.8860,1799.00,47,0.5670,0.5750,0,0,0,1,0,Medium,1.0000
708216108,0,56,F,1,College,Married,"$40K - $60K",Blue,44,5,1,4,4088.00,1557.00,2531.00,1.2480,2250.00,39,0.8570,0.3810,0,0,0,0,0,Low,0.0000
708217758,0,63,M,2,Graduate,Married,"$60K - $80K",Blue,49,5,2,3,14035.00,2061.00,11974.00,2.2710,1606.00,30,1.5000,0.1470,0,0,0,0,0,"Very Low",0.0000
708219108,0,49,M,3,College,Divorced,"$80K - $120K",Blue,38,2,3,3,9959.00,1143.00,8816.00,0.6610,7300.00,77,0.6380,0.1150,0,1,0,1,1,"Very Low",2.0000
708219858,0,39,M,2,Graduate,Single,"$40K - $60K",Blue,26,6,3,2,6423.00,0.00,6423.00,1.0510,4295.00,70,0.7950,0.0000,0,0,0,1,0,NULL,1.0000
708222558,0,37,F,2,Post-Graduate,Married,"Less than $40K",Blue,36,6,2,3,2310.00,1513.00,797.00,0.6820,4191.00,77,0.8330,0.6550,0,1,0,0,1,Medium,1.0000
708223383,1,47,F,3,"High School",Married,Unknown,Blue,39,6,3,4,11410.00,979.00,10431.00,1.0490,2736.00,38,0.4620,0.0860,0,0,0,1,0,"Very Low",1.0000
708224133,0,61,M,0,Uneducated,Single,"$40K - $60K",Blue,49,1,2,3,2228.00,1480.00,748.00,0.5330,4431.00,71,0.6510,0.6640,0,1,0,0,1,Medium,1.0000
708225483,0,47,M,4,Graduate,Married,"$80K - $120K",Blue,36,3,2,4,11242.00,1561.00,9681.00,0.8290,4246.00,81,0.8000,0.1390,0,0,0,0,0,"Very Low",0.0000
708226833,0,53,M,1,"High School",Married,"$120K +",Gold,44,1,6,3,34516.00,831.00,33685.00,0.7270,13247.00,107,0.7540,0.0240,0,1,1,1,1,"Very Low",2.0000
708229308,1,49,F,2,Unknown,Married,"Less than $40K",Blue,41,5,2,2,3243.00,0.00,3243.00,0.6850,6059.00,71,0.8210,0.0000,0,1,0,0,1,NULL,1.0000
708231183,0,30,M,1,Uneducated,Divorced,Unknown,Blue,22,5,3,4,12539.00,910.00,11629.00,0.8560,2643.00,72,0.6740,0.0730,0,0,0,1,0,"Very Low",1.0000
708234558,0,55,F,2,College,Divorced,"Less than $40K",Blue,43,5,2,1,2239.00,1340.00,899.00,0.6580,4540.00,73,0.5870,0.5980,0,1,0,0,1,Medium,1.0000
708238833,0,57,F,3,"High School",Married,"Less than $40K",Blue,36,6,2,3,3032.00,2215.00,817.00,0.4080,1387.00,30,0.5790,0.7310,0,1,0,0,1,Medium,1.0000
708241233,1,52,F,3,Post-Graduate,Single,"Less than $40K",Blue,47,3,3,2,2972.00,0.00,2972.00,1.0350,922.00,25,0.5620,0.0000,0,0,0,1,0,NULL,1.0000
708242283,0,29,M,1,College,Single,"$60K - $80K",Blue,36,5,3,2,5346.00,0.00,5346.00,0.9280,3253.00,80,0.8180,0.0000,0,0,0,1,0,NULL,1.0000
708243483,0,53,M,3,College,Married,"$120K +",Blue,43,4,2,5,14938.00,1155.00,13783.00,0.9950,2248.00,51,0.6450,0.0770,0,0,0,0,0,"Very Low",0.0000
708244458,0,47,F,2,Unknown,Married,"Less than $40K",Blue,35,3,3,2,2793.00,1517.00,1276.00,0.7120,3485.00,72,0.8950,0.5430,0,1,0,1,1,Medium,2.0000
708245808,0,35,M,3,Graduate,Married,"$60K - $80K",Blue,36,4,1,4,19671.00,924.00,18747.00,0.8200,13908.00,124,0.6760,0.0470,0,0,0,0,0,"Very Low",0.0000
708248358,0,42,M,4,Graduate,Unknown,"$60K - $80K",Silver,30,3,1,3,29937.00,0.00,29937.00,0.7460,14863.00,109,0.6270,0.0000,0,1,0,0,1,NULL,1.0000
708249708,0,48,F,1,Doctorate,Married,"Less than $40K",Blue,39,3,3,3,4844.00,1576.00,3268.00,0.8090,1489.00,48,0.6000,0.3250,0,0,0,1,0,Low,1.0000
708252108,0,64,M,0,College,Single,"$40K - $60K",Blue,53,6,3,2,7362.00,1907.00,5455.00,0.6930,4065.00,65,0.7110,0.2590,0,1,0,1,1,Low,2.0000
708253458,0,59,F,1,Unknown,Single,Unknown,Blue,48,4,2,3,5528.00,1823.00,3705.00,0.7310,4857.00,81,0.7230,0.3300,0,1,0,0,1,Low,1.0000
708254733,0,41,F,4,Post-Graduate,Single,"Less than $40K",Blue,36,5,4,1,2968.00,1873.00,1095.00,1.1100,5171.00,85,0.8890,0.6310,0,0,1,1,0,Medium,1.0000
708255633,0,36,M,1,Graduate,Single,"$80K - $120K",Blue,27,3,2,4,3761.00,1710.00,2051.00,0.6270,3240.00,65,0.5850,0.4550,0,1,0,0,1,Low,1.0000
708260208,0,43,F,5,Uneducated,Single,"Less than $40K",Blue,36,4,3,2,2057.00,1279.00,778.00,0.5620,4321.00,76,0.6890,0.6220,0,1,0,1,1,Medium,2.0000
708266883,1,34,F,2,Graduate,Single,"Less than $40K",Blue,36,1,2,3,1666.00,0.00,1666.00,0.7130,2312.00,35,0.2500,0.0000,0,1,0,0,1,NULL,1.0000
708267858,0,65,F,0,"High School",Married,"$40K - $60K",Blue,36,5,2,3,6088.00,2145.00,3943.00,1.3710,2098.00,52,0.7330,0.3520,0,0,0,0,0,Low,0.0000
708269583,0,42,F,3,Uneducated,Divorced,"Less than $40K",Blue,28,6,2,4,2029.00,1377.00,652.00,0.8380,4014.00,86,0.6860,0.6790,0,0,0,0,0,Medium,0.0000
708271833,0,42,M,3,Graduate,Single,"$40K - $60K",Silver,36,3,2,3,15069.00,1843.00,13226.00,0.8400,3464.00,67,0.5580,0.1220,0,0,0,0,0,"Very Low",0.0000
708272808,0,45,M,5,Graduate,Single,"Less than $40K",Blue,36,4,2,1,2718.00,1474.00,1244.00,0.7100,3542.00,59,0.6390,0.5420,0,1,0,0,1,Medium,1.0000
708273858,0,40,M,3,Graduate,Divorced,"$120K +",Blue,30,3,2,1,34516.00,0.00,34516.00,0.6430,3734.00,80,0.8600,0.0000,0,1,0,0,1,NULL,1.0000
708276183,1,52,F,3,Post-Graduate,Married,"Less than $40K",Blue,45,2,4,1,1760.00,0.00,1760.00,0.0460,1554.00,35,0.0290,0.0000,0,1,1,1,1,NULL,2.0000
708281433,0,57,F,2,Graduate,Married,"Less than $40K",Blue,36,5,1,3,1438.30,0.00,1438.30,0.5650,3848.00,75,0.7050,0.0000,0,1,0,0,1,NULL,1.0000
708285108,0,42,M,4,Graduate,Single,"$40K - $60K",Blue,36,1,1,2,6128.00,2239.00,3889.00,0.7680,13505.00,116,0.6810,0.3650,0,1,0,0,1,Low,1.0000
708286683,0,57,M,2,Uneducated,Single,"$80K - $120K",Blue,43,6,3,1,12045.00,1749.00,10296.00,0.7360,4884.00,86,0.8700,0.1450,0,1,0,1,1,"Very Low",2.0000
708288108,1,43,M,4,Post-Graduate,Unknown,"$80K - $120K",Blue,30,2,5,3,5639.00,1547.00,4092.00,1.0870,647.00,15,0.3640,0.2740,0,0,1,1,0,Low,1.0000
708290208,0,43,F,3,"High School",Married,"Less than $40K",Silver,31,3,3,4,13608.00,1190.00,12418.00,0.5530,3118.00,76,0.7670,0.0870,0,1,0,1,1,"Very Low",2.0000
708291633,0,33,F,2,Doctorate,Unknown,Unknown,Blue,21,3,3,3,4651.00,2499.00,2152.00,0.7660,5097.00,79,0.7950,0.5370,0,1,0,1,1,Medium,2.0000
708292833,0,35,M,2,"High School",Single,"$120K +",Blue,36,4,2,3,27389.00,1250.00,26139.00,0.6410,2754.00,60,0.4630,0.0460,0,1,0,0,1,"Very Low",1.0000
708295533,0,65,F,0,Post-Graduate,Married,"Less than $40K",Blue,56,5,3,2,3549.00,1880.00,1669.00,0.6240,1215.00,22,0.5710,0.5300,0,1,0,1,1,Medium,2.0000
708296883,0,44,F,3,Graduate,Single,"$40K - $60K",Blue,38,3,1,0,11749.00,788.00,10961.00,0.6880,1178.00,27,0.9290,0.0670,0,1,0,0,1,"Very Low",1.0000
708298233,1,49,F,3,Graduate,Married,"Less than $40K",Blue,37,4,2,1,6184.00,0.00,6184.00,0.4760,1756.00,49,0.3240,0.0000,0,1,0,0,1,NULL,1.0000
708300483,1,66,F,0,Doctorate,Married,Unknown,Blue,56,5,4,3,7882.00,605.00,7277.00,1.0520,704.00,16,0.1430,0.0770,0,0,1,1,0,"Very Low",1.0000
708301683,1,40,M,2,Uneducated,Married,"$80K - $120K",Blue,30,6,2,3,20798.00,1059.00,19739.00,1.0490,8038.00,90,0.8370,0.0510,0,0,0,0,0,"Very Low",0.0000
708303108,0,50,F,2,Graduate,Married,"Less than $40K",Blue,42,5,3,0,1770.00,1706.00,64.00,0.6260,4940.00,94,0.7740,0.9640,1,1,0,1,1,High,2.0000
708307533,0,42,M,2,Uneducated,Married,"$60K - $80K",Blue,30,1,2,3,3086.00,0.00,3086.00,0.8080,4129.00,81,0.8840,0.0000,0,0,0,0,0,NULL,0.0000
708313608,0,53,M,3,Unknown,Married,"$80K - $120K",Blue,43,5,3,0,2464.00,2116.00,348.00,0.7440,2110.00,43,1.0480,0.8590,1,1,0,1,1,High,2.0000
708314808,0,53,F,2,College,Married,Unknown,Blue,41,5,1,3,5659.00,1393.00,4266.00,0.4360,1570.00,40,0.6000,0.2460,0,1,0,0,1,Low,1.0000
708316008,1,59,F,1,Graduate,Single,Unknown,Blue,36,3,2,3,10031.00,0.00,10031.00,0.2380,1792.00,29,0.0740,0.0000,0,1,0,0,1,NULL,1.0000
708319908,1,37,M,3,Graduate,Single,"$80K - $120K",Blue,17,1,1,2,4116.00,1473.00,2643.00,1.0230,8667.00,70,0.8920,0.3580,0,0,0,0,0,Low,0.0000
708323208,1,49,F,3,Uneducated,Married,"Less than $40K",Blue,36,4,2,4,1522.00,0.00,1522.00,0.4820,2241.00,36,0.8000,0.0000,0,1,0,0,1,NULL,1.0000
708324483,0,47,F,4,Unknown,Single,"Less than $40K",Blue,39,3,3,4,1548.00,0.00,1548.00,0.6640,4420.00,71,0.7750,0.0000,0,1,0,1,1,NULL,2.0000
708330858,1,57,M,3,Graduate,Married,"$120K +",Blue,38,2,3,3,8249.00,1381.00,6868.00,0.7980,678.00,11,0.8330,0.1670,0,1,0,1,1,"Very Low",2.0000
708331758,0,47,F,2,Uneducated,Divorced,Unknown,Silver,35,3,1,4,32444.00,1843.00,30601.00,1.1270,3725.00,60,0.6220,0.0570,0,0,0,0,0,"Very Low",0.0000
708332808,0,47,M,2,Uneducated,Married,"$40K - $60K",Blue,39,2,2,2,3471.00,0.00,3471.00,0.8710,14381.00,115,0.7420,0.0000,0,0,0,0,0,NULL,0.0000
708334158,0,46,F,3,Graduate,Divorced,"Less than $40K",Blue,34,4,2,4,9863.00,686.00,9177.00,0.5810,3068.00,58,0.9330,0.0700,0,1,0,0,1,"Very Low",1.0000
708337683,0,51,M,2,Uneducated,Single,"$60K - $80K",Blue,40,4,2,2,21800.00,893.00,20907.00,0.4450,3820.00,62,0.6760,0.0410,0,1,0,0,1,"Very Low",1.0000
708338958,0,58,F,1,Graduate,Single,"Less than $40K",Blue,36,5,1,1,3173.00,1713.00,1460.00,0.6090,3797.00,75,0.7860,0.5400,0,1,0,0,1,Medium,1.0000
708340758,1,41,M,4,"High School",Married,"Less than $40K",Blue,32,2,3,3,7769.00,0.00,7769.00,0.9430,8109.00,74,0.7620,0.0000,0,0,0,1,0,NULL,1.0000
708341958,0,31,F,1,College,Divorced,"Less than $40K",Blue,21,2,2,3,2061.00,1904.00,157.00,0.7860,4480.00,86,0.8700,0.9240,1,1,0,0,1,High,1.0000
708344358,0,53,F,3,"High School",Married,Unknown,Blue,45,5,1,3,2495.00,1354.00,1141.00,0.6230,1311.00,31,0.4760,0.5430,0,1,0,0,1,Medium,1.0000
708347583,0,37,F,4,Uneducated,Married,"Less than $40K",Blue,36,4,1,4,2509.00,1144.00,1365.00,0.6920,1804.00,38,0.5830,0.4560,0,1,0,0,1,Low,1.0000
708354858,1,51,M,2,Unknown,Single,"$120K +",Blue,42,2,4,2,14938.00,0.00,14938.00,0.7580,8192.00,80,0.7780,0.0000,0,1,1,1,1,NULL,2.0000
708355683,0,46,F,4,Graduate,Married,Unknown,Blue,38,3,2,3,16815.00,0.00,16815.00,0.9380,2976.00,65,0.5120,0.0000,0,0,0,0,0,NULL,0.0000
708357183,0,47,F,3,Unknown,Single,"Less than $40K",Blue,38,4,2,3,1438.30,0.00,1438.30,1.0010,3511.00,64,0.8820,0.0000,0,0,0,0,0,NULL,0.0000
708358683,0,46,M,2,Graduate,Married,"$80K - $120K",Silver,35,6,3,2,34516.00,1236.00,33280.00,0.5490,1665.00,40,0.6670,0.0360,0,1,0,1,1,"Very Low",2.0000
708360108,0,50,M,1,College,Single,"$40K - $60K",Blue,41,3,1,1,2800.00,1338.00,1462.00,0.8180,4869.00,90,0.8000,0.4780,0,0,0,0,0,Low,0.0000
708361833,0,44,M,4,Graduate,Married,"$80K - $120K",Blue,36,3,2,3,19430.00,0.00,19430.00,1.0120,3650.00,80,0.6330,0.0000,0,0,0,0,0,NULL,0.0000
708367908,0,56,F,1,Uneducated,Married,"Less than $40K",Blue,47,6,1,2,3022.00,1627.00,1395.00,0.8350,4390.00,82,0.7830,0.5380,0,0,0,0,0,Medium,0.0000
708369633,1,34,F,3,Graduate,Married,"Less than $40K",Gold,36,6,3,2,15487.00,1847.00,13640.00,0.9430,7031.00,67,0.8110,0.1190,0,0,0,1,0,"Very Low",1.0000
708371733,0,41,F,3,"High School",Married,"Less than $40K",Blue,15,1,1,2,4662.00,0.00,4662.00,0.6610,4931.00,81,0.8410,0.0000,0,1,0,0,1,NULL,1.0000
708373083,1,40,F,4,Unknown,Married,"$40K - $60K",Blue,30,1,3,4,3356.00,2517.00,839.00,0.5830,2032.00,39,0.1470,0.7500,0,1,0,1,1,Medium,2.0000
708375858,0,47,F,4,"High School",Divorced,"Less than $40K",Blue,36,5,4,2,2776.00,1341.00,1435.00,0.7440,4318.00,68,0.9430,0.4830,0,1,1,1,1,Low,2.0000
708376983,1,58,F,1,Unknown,Single,Unknown,Blue,50,5,2,2,8513.00,799.00,7714.00,0.4510,2119.00,37,0.5420,0.0940,0,1,0,0,1,"Very Low",1.0000
708378108,0,39,F,1,Post-Graduate,Married,"$40K - $60K",Blue,36,5,3,2,2147.00,771.00,1376.00,0.6900,4631.00,76,0.7670,0.3590,0,1,0,1,1,Low,2.0000
708382083,0,49,M,5,"High School",Married,"$80K - $120K",Blue,36,6,2,2,2292.00,0.00,2292.00,0.9760,2584.00,60,0.5000,0.0000,0,0,0,0,0,NULL,0.0000
708384033,1,45,F,3,Uneducated,Married,"Less than $40K",Blue,35,3,3,3,2745.00,2463.00,282.00,0.6430,2466.00,39,0.3450,0.8970,1,1,0,1,1,High,2.0000
708385533,1,49,F,1,Graduate,Married,"Less than $40K",Silver,36,2,3,3,11059.00,0.00,11059.00,0.9900,9524.00,80,0.9050,0.0000,0,0,0,1,0,NULL,1.0000
708386958,1,47,F,3,Unknown,Married,"Less than $40K",Blue,34,3,3,2,1561.00,0.00,1561.00,0.5020,1947.00,28,0.5560,0.0000,0,1,0,1,1,NULL,2.0000
708387933,0,49,F,2,Post-Graduate,Married,"Less than $40K",Blue,37,2,1,2,5500.00,0.00,5500.00,0.6750,14357.00,110,0.6180,0.0000,0,1,0,0,1,NULL,1.0000
708390633,0,52,F,3,Graduate,Married,"Less than $40K",Blue,44,5,5,3,2421.00,2312.00,109.00,0.6740,4219.00,69,0.6050,0.9550,1,1,1,1,1,High,2.0000
708393633,0,41,F,0,"High School",Married,"Less than $40K",Blue,31,4,2,4,2685.00,1647.00,1038.00,0.8120,4625.00,94,0.5160,0.6130,0,0,0,0,0,Medium,0.0000
708394908,0,44,M,0,"High School",Single,"$40K - $60K",Blue,33,5,1,3,2337.00,1442.00,895.00,0.6590,3945.00,65,0.5480,0.6170,0,1,0,0,1,Medium,1.0000
708396033,0,45,F,2,Uneducated,Married,"Less than $40K",Blue,27,1,2,2,2490.00,1059.00,1431.00,0.7150,12257.00,101,0.7720,0.4250,0,1,0,0,1,Low,1.0000
